,Player Name,Age,Team,At Bats,Home Runs,Home Runs per At Bat,Slugging Percentage,Batting Average,Isolated Power
188,Yan Gomes,35,CHC,382,10,0.02617801047120419,0.408,0.267,0.14099999999999996
182,Francisco Alvarez,21,NYM,382,25,0.06544502617801047,0.437,0.209,0.228
190,Riley Greene,22,DET,378,11,0.0291005291005291,0.447,0.288,0.15900000000000003
173,Brandon Lowe,28,TBR,377,21,0.05570291777188329,0.443,0.231,0.212
170,Alex Call,28,WSN,375,8,0.021333333333333333,0.307,0.2,0.10699999999999998
201,Elvis Andrus,34,CHW,374,6,0.016042780748663103,0.358,0.251,0.10699999999999998
176,Jace Peterson,33,2TM,374,6,0.016042780748663103,0.307,0.211,0.096
209,Alek Thomas,23,ARI,374,9,0.02406417112299465,0.374,0.23,0.144
186,Anthony Rizzo,33,NYY,373,12,0.032171581769437,0.378,0.244,0.134
184,Alejandro Kirk,24,TOR,372,8,0.021505376344086023,0.358,0.25,0.10799999999999998
191,Jarred Kelenic,23,SEA,372,11,0.02956989247311828,0.419,0.253,0.16599999999999998
207,Connor Wong,27,BOS,371,9,0.02425876010781671,0.385,0.235,0.15000000000000002
192,Giancarlo Stanton,33,NYY,371,24,0.0646900269541779,0.42,0.191,0.22899999999999998
172,Sean Murphy,28,ATL,370,21,0.05675675675675676,0.478,0.251,0.22699999999999998
199,Kevin Kiermaier,33,TOR,370,8,0.021621621621621623,0.419,0.265,0.15399999999999997
160,Aaron Judge,31,NYY,367,37,0.1008174386920981,0.613,0.267,0.346
181,Nolan Jones,25,COL,367,20,0.05449591280653951,0.542,0.297,0.24500000000000005
195,Joey Wiemer,24,MIL,367,13,0.035422343324250684,0.362,0.204,0.158
206,Matt McLain,23,CIN,365,16,0.043835616438356165,0.507,0.29,0.21700000000000003
203,Yasmani Grandal,34,CHW,363,8,0.02203856749311295,0.339,0.234,0.10500000000000001
200,Martín Maldonado,36,HOU,362,15,0.04143646408839779,0.348,0.191,0.15699999999999997
205,Ramón Laureano,28,2TM,361,9,0.024930747922437674,0.371,0.224,0.147
212,Ramón Urías,29,BAL,360,4,0.011111111111111112,0.375,0.264,0.11099999999999999
